n,theory_size,theory_clos_size,systematicity,systematicity_type,gamma,alpha,beta
7,1,4,0.5476190476190477,sys_csw_beta,,,0.525
7,1,5,0.6984126984126985,sys_csw_beta,,,0.525
7,1,6,0.8492063492063493,sys_csw_beta,,,0.525
7,1,7,1.0,sys_csw_beta,,,0.525
7,2,2,0.07936507936507953,sys_csw_beta,,,0.525
7,2,3,0.23015873015873034,sys_csw_beta,,,0.525
7,2,4,0.38095238095238115,sys_csw_beta,,,0.525
7,2,5,0.5317460317460317,sys_csw_beta,,,0.525
7,2,6,0.6825396825396826,sys_csw_beta,,,0.525
7,2,7,0.8333333333333334,sys_csw_beta,,,0.525
7,3,3,0.06349206349206349,sys_csw_beta,,,0.525
7,3,4,0.21428571428571452,sys_csw_beta,,,0.525
7,3,5,0.3650793650793651,sys_csw_beta,,,0.525
7,3,6,0.515873015873016,sys_csw_beta,,,0.525
7,3,7,0.6666666666666667,sys_csw_beta,,,0.525
7,4,4,0.04761904761904767,sys_csw_beta,,,0.525
7,4,5,0.19841269841269837,sys_csw_beta,,,0.525
7,4,6,0.3492063492063492,sys_csw_beta,,,0.525
7,4,7,0.5,sys_csw_beta,,,0.525
7,5,5,0.031746031746031966,sys_csw_beta,,,0.525
7,5,6,0.18253968253968256,sys_csw_beta,,,0.525
7,5,7,0.33333333333333337,sys_csw_beta,,,0.525
7,6,6,0.015873015873015928,sys_csw_beta,,,0.525
7,6,7,0.16666666666666674,sys_csw_beta,,,0.525
7,7,7,0.0,sys_csw_beta,,,0.525
7,1,1,0.5714285714285713,sys_csw_beta,,,0.7
7,1,2,0.6428571428571428,sys_csw_beta,,,0.7
7,1,3,0.7142857142857142,sys_csw_beta,,,0.7
7,1,4,0.7857142857142856,sys_csw_beta,,,0.7
7,1,5,0.8571428571428571,sys_csw_beta,,,0.7
7,1,6,0.9285714285714286,sys_csw_beta,,,0.7
7,1,7,1.0,sys_csw_beta,,,0.7
